ticker,asset_class,window,forgetting_factor,ls_sharpe,hit_rate,rmse
LQD,Fixed Income,10,0.98,0.32671393790384645,0.5261780104712042,0.004965415934723969
QQQ,US Equity,10,0.98,0.15637776297562977,0.5380167678519804,0.013028286192398979
SLV,Commodity,10,0.98,-0.1320026250652345,0.49735760422783326,0.01823098956051526
SPY,US Equity,10,0.98,0.05601438585387591,0.5293267841664259,0.010785441654482197
TIP,Fixed Income,10,0.98,0.2602263239938607,0.5131348511383538,0.003670671857352259
TLT,Fixed Income,10,0.98,0.4994338881929218,0.5167727009832273,0.009644666067980721
USO,Commodity,10,0.98,0.12566951691669265,0.5178519593613933,0.022809374998533527
VNQ,Real Estate,10,0.98,-0.3522292927379882,0.515625,0.012812285521633339
XLE,US Equity,10,0.98,-0.10089225758446022,0.5030373155915534,0.01761888098033488
XLF,US Equity,10,0.98,-0.0014695505933953613,0.511539585159217,0.013875789065762352
XLK,US Equity,10,0.98,0.36640217795373814,0.5329654371187917,0.013646177938503215
XLP,US Equity,10,0.98,0.09855745246273293,0.5109553023663453,0.008787812647286895
XLU,US Equity,10,0.98,-0.010642532116675874,0.5248474280732345,0.011310104377774074
XLV,US Equity,10,0.98,0.26294174526724345,0.5178623293639268,0.010279378263665087
DBC,Commodity,10,0.99,0.045459026511448945,0.5222124154162989,0.01079407383679648
DIA,US Equity,10,0.99,0.23354507076467151,0.5320623916811091,0.010490181537366755
EEM,Intl Equity,10,0.99,-0.23863948052943826,0.5103107754864943,0.013419789837402569
EFA,Intl Equity,10,0.99,0.0365579769915651,0.5227602203537257,0.011393121789066348
EWJ,Intl Equity,10,0.99,0.14042810460281646,0.523935389133627,0.01112077654667348
FXI,Intl Equity,10,0.99,0.007647236032734794,0.508130081300813,0.017333585363954185
GLD,Commodity,10,0.99,0.029669788660013262,0.5138728323699422,0.009762463742875885
HYG,Fixed Income,10,0.99,0.27473489717404015,0.5356516656925775,0.00534988664046043
IEF,Fixed Income,10,0.99,0.5529413163586534,0.5205916473317865,0.004168100555775943
IWM,US Equity,10,0.99,0.06143001415327496,0.5245239469128679,0.013972618246408866
LQD,Fixed Income,10,0.99,0.36388781192277625,0.5334496800465387,0.00495788822652127
QQQ,US Equity,10,0.99,0.42485536596033874,0.5458224920497253,0.012994628690574543
SLV,Commodity,10,0.99,-0.10869103972956068,0.5038167938931297,0.018193965594209778
SPY,US Equity,10,0.99,0.1754246809453985,0.5342386593470095,0.010760213786505934
TIP,Fixed Income,10,0.99,0.2217693080142305,0.51517805020432,0.003663016671591301
TLT,Fixed Income,10,0.99,0.4383284045934015,0.5179294389820706,0.009621696768945719
USO,Commodity,10,0.99,0.2904370049205283,0.5198838896952105,0.0227719861473722
VNQ,Real Estate,10,0.99,0.15905076694799847,0.5309606481481481,0.012783579585980826
XLE,US Equity,10,0.99,-0.17573961916801029,0.5073763378652011,0.01757457900409492
XLF,US Equity,10,0.99,0.16685420760076816,0.5188431200701139,0.013845093925247918
XLK,US Equity,10,0.99,0.5198571168348214,0.5442927679349404,0.013609282039305198
XLP,US Equity,10,0.99,0.33607007271598144,0.5241016652059597,0.008766668115665736
XLU,US Equity,10,0.99,0.3470844811062442,0.5335658238884046,0.011281542828121206
XLV,US Equity,10,0.99,0.35551577386212146,0.5271565495207667,0.0102544392812859
DBC,Commodity,10,1.0,0.203743065637221,0.499558693733451,0.0107674376150238
DIA,US Equity,10,1.0,0.737627378314379,0.5473714615829001,0.010472512885753309
EEM,Intl Equity,10,1.0,-0.010604444049265967,0.5132152192855068,0.013383211250820455
EFA,Intl Equity,10,1.0,0.18260850967504677,0.5227602203537257,0.011369049203151252
EWJ,Intl Equity,10,1.0,0.2910576690802693,0.5254038179148312,0.011097562891132867
FXI,Intl Equity,10,1.0,-0.03859792104781574,0.4965156794425087,0.017271739724044475
GLD,Commodity,10,1.0,0.17682989173484162,0.5156069364161849,0.009736385063016148
HYG,Fixed Income,10,1.0,0.4618146789958731,0.5315604909409702,0.005342085156755618
IEF,Fixed Income,10,1.0,0.3271845997385727,0.5197215777262181,0.004164016652009986
IWM,US Equity,10,1.0,0.5086035794977984,0.5337564916330063,0.013947445765178736
LQD,Fixed Income,10,1.0,0.46832149953281743,0.5418848167539267,0.004954919857917101
QQQ,US Equity,10,1.0,0.8095206229704892,0.5527609135588321,0.012969789627968678
SLV,Commodity,10,1.0,-0.2414683609316577,0.49236641221374045,0.01816744746349838
SPY,US Equity,10,1.0,0.6341709891910489,0.5463738803813927,0.01074244846474155
TIP,Fixed Income,10,1.0,0.42604264734570807,0.5195563339171045,0.003656675178840159
TLT,Fixed Income,10,1.0,0.231771000050447,0.5231347599768652,0.009612279133502653
USO,Commodity,10,1.0,0.09346395890289527,0.5079825834542816,0.02273364571888007
VNQ,Real Estate,10,1.0,0.4552706606082929,0.5370370370370371,0.012763995930176245
XLE,US Equity,10,1.0,0.16017763158318707,0.5099797512293897,0.017524002131210165
XLF,US Equity,10,1.0,0.5292538287011288,0.5290680689453695,0.013820416004629913
XLK,US Equity,10,1.0,0.8482165686014388,0.550682544292768,0.013576004804363677
XLP,US Equity,10,1.0,0.7767542546855969,0.5404615834063686,0.008747831687917998
XLU,US Equity,10,1.0,0.6187213703301537,0.5417029933158966,0.011247569175484152
XLV,US Equity,10,1.0,0.8195881803354139,0.5422596572756317,0.010233504722309899
DBC,Commodity,25,0.95,0.4738677139952556,0.5239776404824948,0.01085623492566228
DIA,US Equity,25,0.95,-0.060430329691147665,0.5153090699017908,0.010584200964120726
EEM,Intl Equity,25,0.95,-0.20078329009281334,0.5007261109497532,0.013546463160480832
EFA,Intl Equity,25,0.95,-0.25462229650743096,0.50275442157147,0.011500972049561648
EWJ,Intl Equity,25,0.95,-0.2116648625968889,0.5019089574155653,0.011237510087197328
