method,rmse,mae,hit_rate,ls_sharpe,ls_cagr,n_obs
AR(1) (250d),0.011634976029785636,0.008062403177994462,0.5199188753338837,0.20434110796020863,0.015765189563068664,3472.0
Adaptive Bayesian (w=50d),0.011647232269557514,0.00807659518892373,0.5135677959356487,0.011745367684133206,-0.01878701984548037,3472.0
EWMA (hl=20d),0.011710664751241433,0.008114669514091987,0.5108446004356167,0.018512036940845453,-0.022083068486868026,3472.0
Random Walk,0.01681750718678583,0.011656564682344614,0.49296020040091454,-0.17262670953580425,-0.04918827679236023,3472.0
Rolling Mean (250d),0.011612223536092349,0.008042534843329589,0.5228197872810006,0.15958924619605078,0.005683275317452431,3472.0
Rolling Mean (50d),0.011714400510326003,0.00811612065401849,0.5126804829919124,0.01331303279618721,-0.018689494532209125,3472.0
Zero,0.01159395395918623,0.008052562022428558,,,,3472.0
