Date,DBC,DIA,EEM,EFA,EWJ,FXI,GLD,HYG,IEF,IWM,LQD,QQQ,SLV,SPY,TIP,TLT,USO,VNQ,VXX,XLE,XLF,XLK,XLP,XLU,XLV
2010-01-04,21.33884620666504,74.32881164550781,30.194562911987305,34.581214904785156,29.64000701904297,29.07659912109375,109.80000305175781,33.88813781738281,60.713706970214844,51.24470138549805,56.74607849121094,40.24655532836914,17.229999542236328,84.57846069335938,67.12621307373047,55.070804595947266,322.1600036621094,23.3463191986084,,17.144622802734375,8.911173820495605,9.36761474609375,17.131900787353516,8.8297119140625,23.879535675048828
2010-01-05,21.364206314086914,74.20928192138672,30.413715362548828,34.611690521240234,29.818021774291992,29.67646026611328,109.69999694824219,34.048858642578125,60.980262756347656,51.068485260009766,57.01706314086914,40.24655532836914,17.510000228881836,84.8023910522461,67.34534454345703,55.426475524902344,323.2799987792969,23.32011604309082,,17.284555435180664,9.074959754943848,9.355537414550781,17.138324737548828,8.724595069885254,23.645349502563477
2010-01-06,21.74465560913086,74.25849151611328,30.477352142333984,34.757991790771484,29.936702728271484,30.033687591552734,111.51000213623047,34.13691711425781,60.73419189453125,51.02043914794922,56.84903335571289,40.00381088256836,17.860000610351562,84.862060546875,67.17137145996094,54.68449020385742,327.760009765625,23.27819061279297,,17.49153709411621,9.093156814575195,9.250869750976562,17.125484466552734,8.775735855102539,23.887086868286133
2010-01-07,21.4741153717041,74.52584075927734,30.30061149597168,34.62388229370117,29.6696834564209,29.56862449645996,110.81999969482422,34.27471160888672,60.73419189453125,51.39687728881836,56.91950225830078,40.02980422973633,17.889999389648438,85.22030639648438,67.27447509765625,54.77648162841797,325.760009765625,23.529747009277344,,17.465299606323242,9.287278175354004,9.214641571044922,17.125484466552734,8.735960006713867,23.97018051147461
2010-01-08,21.457204818725586,74.64542388916016,30.540971755981445,34.898189544677734,30.02571678161621,29.65623664855957,111.37000274658203,34.328311920166016,60.8094596862793,51.677207946777344,57.04417037963867,40.35927963256836,18.149999618530273,85.50385284423828,67.41626739501953,54.751914978027344,327.44000244140625,23.356800079345703,,17.578994750976562,9.232675552368164,9.275019645690918,17.067668914794922,8.727434158325195,24.007951736450195
2010-01-11,21.389570236206055,74.94788360595703,30.477352142333984,35.184688568115234,30.292739868164062,29.70342445373535,112.8499984741211,34.29766082763672,60.85040283203125,51.46897506713867,57.103797912597656,40.19453811645508,18.209999084472656,85.6233139038086,67.26798248291016,54.45148849487305,324.32000732421875,23.493053436279297,,17.555675506591797,9.238747596740723,9.238794326782227,17.112634658813477,8.81834888458252,24.14393424987793
2010-01-12,20.933032989501953,74.66649627685547,29.989547729492188,34.770172119140625,30.500436782836914,28.982234954833984,110.48999786376953,34.12160873413086,61.28786849975586,50.90830993652344,57.2121696472168,39.691673278808594,17.90999984741211,84.82477569580078,67.57730102539062,55.383567810058594,317.0400085449219,23.100019454956055,,17.30204963684082,9.105290412902832,9.138154029846191,17.20899200439453,8.781414985656738,23.97018051147461
2010-01-13,20.94994354248047,75.09563446044922,30.081453323364258,35.062774658203125,30.67845344543457,28.631757736206055,111.54000091552734,34.198150634765625,60.99393081665039,51.56508255004883,56.97368621826172,40.18586349487305,18.270000457763672,85.54121398925781,67.27447509765625,54.739688873291016,313.67999267578125,23.566421508789062,,17.366180419921875,9.20841121673584,9.226714134216309,17.331037521362305,8.878010749816895,24.287473678588867
2010-01-14,20.840036392211914,75.2926254272461,30.00367546081543,35.33099365234375,31.123497009277344,28.39584732055664,112.02999877929688,34.236427307128906,61.28107452392578,51.75729751586914,57.17967987060547,40.2205696105957,18.309999465942383,85.7725601196289,67.44844055175781,55.50617218017578,312.4800109863281,23.54545783996582,,17.41574478149414,9.250879287719727,9.250869750976562,17.27964973449707,8.838235855102539,24.506549835205078
2010-01-15,20.603313446044922,74.57505798339844,29.65726661682129,34.776268005371094,31.064146041870117,27.93752670288086,110.86000061035156,34.098636627197266,61.55447006225586,51.00440979003906,57.157955169677734,39.75236511230469,18.049999237060547,84.80982971191406,67.66754913330078,55.84959030151367,307.20001220703125,23.367284774780273,,17.275806427001953,9.06282901763916,9.122050285339355,17.196136474609375,8.781414985656738,24.34035301208496
